proposalId,action,reviewCategory,riskLevel,field,sourceType,sourceOwnerType,count,affectedProviders,duplicateClaimRows,reason,safeAutomation,liveMutationAllowed,reviewGateRequiredForProviderData
auto-deprioritize:city-provider-owned-provider-owned,auto_deprioritize_low_risk_claims,"ready to auto-apply, low risk",low,city,provider_owned,provider_owned,197,197,,These are already stored low-risk public identity/contact/location claims from strong sources with no attached field-specific audit conflict.,Remove these claim-level checks from manual review dashboards unless the source changes; do not mutate providers.json from this proposal.,false,true
auto-deprioritize:name-provider-owned-provider-owned,auto_deprioritize_low_risk_claims,"ready to auto-apply, low risk",low,name,provider_owned,provider_owned,197,197,,These are already stored low-risk public identity/contact/location claims from strong sources with no attached field-specific audit conflict.,Remove these claim-level checks from manual review dashboards unless the source changes; do not mutate providers.json from this proposal.,false,true
auto-deprioritize:region-provider-owned-provider-owned,auto_deprioritize_low_risk_claims,"ready to auto-apply, low risk",low,region,provider_owned,provider_owned,197,197,,These are already stored low-risk public identity/contact/location claims from strong sources with no attached field-specific audit conflict.,Remove these claim-level checks from manual review dashboards unless the source changes; do not mutate providers.json from this proposal.,false,true
auto-deprioritize:website-provider-owned-provider-owned,auto_deprioritize_low_risk_claims,"ready to auto-apply, low risk",low,website,provider_owned,provider_owned,196,196,,These are already stored low-risk public identity/contact/location claims from strong sources with no attached field-specific audit conflict.,Remove these claim-level checks from manual review dashboards unless the source changes; do not mutate providers.json from this proposal.,false,true
auto-deprioritize:phone-provider-owned-provider-owned,auto_deprioritize_low_risk_claims,"ready to auto-apply, low risk",low,phone,provider_owned,provider_owned,143,143,,These are already stored low-risk public identity/contact/location claims from strong sources with no attached field-specific audit conflict.,Remove these claim-level checks from manual review dashboards unless the source changes; do not mutate providers.json from this proposal.,false,true
auto-deprioritize:address-provider-owned-provider-owned,auto_deprioritize_low_risk_claims,"ready to auto-apply, low risk",low,address,provider_owned,provider_owned,126,126,,These are already stored low-risk public identity/contact/location claims from strong sources with no attached field-specific audit conflict.,Remove these claim-level checks from manual review dashboards unless the source changes; do not mutate providers.json from this proposal.,false,true
auto-deprioritize:lat-provider-owned-provider-owned,auto_deprioritize_low_risk_claims,"ready to auto-apply, low risk",low,lat,provider_owned,provider_owned,87,87,,These are already stored low-risk public identity/contact/location claims from strong sources with no attached field-specific audit conflict.,Remove these claim-level checks from manual review dashboards unless the source changes; do not mutate providers.json from this proposal.,false,true
auto-deprioritize:lon-provider-owned-provider-owned,auto_deprioritize_low_risk_claims,"ready to auto-apply, low risk",low,lon,provider_owned,provider_owned,87,87,,These are already stored low-risk public identity/contact/location claims from strong sources with no attached field-specific audit conflict.,Remove these claim-level checks from manual review dashboards unless the source changes; do not mutate providers.json from this proposal.,false,true
auto-deprioritize:city-ngo-directory-official,auto_deprioritize_low_risk_claims,"ready to auto-apply, low risk",low,city,ngo_directory,official,32,32,,These are already stored low-risk public identity/contact/location claims from strong sources with no attached field-specific audit conflict.,Remove these claim-level checks from manual review dashboards unless the source changes; do not mutate providers.json from this proposal.,false,true
auto-deprioritize:name-ngo-directory-official,auto_deprioritize_low_risk_claims,"ready to auto-apply, low risk",low,name,ngo_directory,official,32,32,,These are already stored low-risk public identity/contact/location claims from strong sources with no attached field-specific audit conflict.,Remove these claim-level checks from manual review dashboards unless the source changes; do not mutate providers.json from this proposal.,false,true
